time,m1,m2,m3,p1,p2,p3
2.155,8,14,10,16,12,10
2.16,8,13,10,15,13,11
2.165,8,13,10,13,14,11
2.17,8,13,10,14,14,9
2.175,8,13,10,14,15,9
2.18,8,13,10,14,16,9
2.185,8,13,10,13,16,10
2.19,8,13,10,13,17,11
2.195,8,13,10,11,17,11
2.2,8,13,10,12,18,11
2.205,8,13,10,12,18,11
2.21,8,13,10,12,18,10
2.215,8,13,10,12,17,10
2.22,8,13,10,13,17,11
2.225,8,13,10,13,17,8
2.23,8,13,9,13,17,8
2.235,8,13,9,12,16,8
2.24,8,13,9,13,17,8
2.245,8,13,10,13,17,8
2.25,8,13,10,13,17,8
2.255,8,13,10,11,17,8
2.26,8,13,10,11,15,9
2.265,8,13,10,12,13,11
2.27,8,13,10,12,13,11
2.275,8,13,10,11,12,11
2.28,8,13,10,11,14,11
2.285,8,13,10,11,14,12
2.29,8,13,10,12,14,13
2.295,8,13,10,13,14,13
2.3,8,13,11,14,13,14
2.305,8,13,11,16,13,15
2.31,8,13,11,16,13,13
2.315,8,13,11,15,13,13
2.32,8,13,11,16,11,13
2.325,8,13,11,16,10,13
2.33,8,13,11,16,11,13
2.335,8,13,11,16,11,13
2.34,8,13,11,17,11,13
2.345,8,12,11,17,10,12
2.35,8,12,11,18,10,13
2.355,8,11,12,18,10,13
2.36,8,11,12,18,10,13
2.365,8,11,12,17,10,12
2.37,8,11,12,18,10,10
2.375,8,11,12,16,10,9
2.38,8,10,13,15,10,9
2.385,8,10,14,15,9,9
2.39,8,10,14,15,9,9
2.395,8,10,14,15,9,9
2.4,8,9,14,15,9,9
2.405,7,9,14,15,9,10
2.41,7,9,14,16,9,9
2.415,7,9,14,16,9,9
2.42,6,9,15,16,8,10
2.425,6,9,15,16,8,10
2.43,6,9,15,15,8,10
2.435,6,9,15,15,9,11
2.44,5,9,15,15,8,11
2.445,5,9,15,15,7,11
2.45,5,9,15,15,7,10
2.455,5,9,15,13,7,10
2.46,5,9,15,13,7,12
2.465,5,9,15,13,7,12
2.47,5,9,15,13,7,11
2.475,5,9,15,13,5,13
2.48,5,10,15,13,5,13
2.485,5,10,15,13,6,13
2.49,5,10,15,13,5,13
2.495,5,10,15,11,5,15
2.5,5,10,15,11,5,15
2.505,5,11,15,11,5,15
2.51,5,12,15,12,5,15
2.515,5,12,15,12,5,16
